Matric No,Surname,Other Names,Grade,Course,Reason
2021835252,Onyeka,Chidinma,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2019610785,Nwosu,Joy,Third Class,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020736135,Ifeanyi,Emeka,Third Class,Geology,Matriculation Number Already Exist
2014722238,Nwosu,Joy,Third Class,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2015582053,Obi,Precious,Second Class Upper,Petroleum Engineering,Jamb Number has already been used
2012542247,Eze,Grace,Second Class Lower,Biotechnology,JAMB Number does not exists
2011610214,Okafor,Precious,Second Class Upper,Polymer And Textile Engineering,JAMB Number does not exists
2018562193,Ifeanyi,Emeka,Second Class Lower,Civil Engineering,Jamb Number has already been used
2015702481,Onyeka,Chiamaka,Second Class Lower,Mechanical & Production Engineering,Matriculation Number Already Exist
2017629212,Eze,Samuel,Second Class Lower,Chemical Engineering,JAMB Number does not exists
2013299170,Eze,Victor,Third Class,Polymer And Textile Engineering,Jamb Number has already been used
2013828694,Okeke,Emeka,Second Class Lower,Agricultural Science,JAMB Number does not exists
2020738149,Ifeanyi,Joy,Second Class Lower,Industrial Mathematics,Jamb Number has already been used
2014595292,Agu,Chiamaka,Second Class Upper,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2016043652,Onyeka,Victor,Third Class,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2017220872,Nnamdi,Grace,Second Class Lower,Mechanical & Production Engineering,Matriculation Number Already Exist
2021588527,Nwosu,Grace,Second Class Upper,Maritime Management Technology,Matriculation Number Already Exist
2018651236,Ifeanyi,Grace,Second Class Lower,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020422784,Umeh,Emeka,Third Class,Public Health Technology,Matriculation Number Already Exist
2017091741,Ifeanyi,Samuel,Second Class Upper,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2022704326,Nwosu,Precious,Second Class Upper,Polymer And Textile Engineering,Matriculation Number Already Exist
2016871501,Umeh,Precious,Third Class,Statistics,JAMB Number does not exists
2011982728,Nnamdi,Grace,Second Class Lower,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2021971731,Nnamdi,Emeka,Second Class Lower,Agricultural Science,Jamb Number has already been used
2013539827,Obi,Chiamaka,Third Class,Urban And Regional Planning,JAMB Number does not exists
2018980371,Nwosu,Chukwuemeka,Second Class Lower,Microbiology,Matriculation Number Already Exist
2016328325,Onyeka,Joy,Second Class Lower,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2013492145,Onyeka,Victor,Third Class,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2022152309,Umeh,Chidinma,Second Class Upper,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018105532,Onyeka,Grace,Second Class Upper,Public Health Technology,JAMB Number does not exists
2021449531,Agu,Victor,Third Class,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2019992952,Eze,Emeka,Third Class,Mechanical & Production Engineering,Jamb Number has already been used
2011945788,Ifeanyi,Joy,Third Class,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2013543363,Okeke,Chidinma,Second Class Lower,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2019791474,Eze,Samuel,Second Class Lower,Electrical & Electronics Engineering,Matriculation Number Already Exist
2020844837,Okeke,Joy,Second Class Upper,Civil Engineering,JAMB Number does not exists
2020846011,Nnamdi,Joy,Third Class,Industrial Mathematics,JAMB Number does not exists
2011595610,Ifeanyi,Grace,Third Class,Civil Engineering,Jamb Number has already been used
2019139902,Nwosu,Chukwuemeka,Second Class Lower,Public Health Technology,Jamb Number has already been used
2013757952,Eze,Chidinma,Third Class,Petroleum Engineering,Jamb Number has already been used
2017843292,Okafor,Emeka,Second Class Lower,Geology,JAMB Number does not exists
2021680505,Obi,Precious,Second Class Lower,Chemical Engineering,Matriculation Number Already Exist
2011908592,Eze,Precious,Second Class Lower,Mechanical & Production Engineering,Jamb Number has already been used
2013709414,Onyeka,Chidinma,Second Class Lower,Petroleum Engineering,JAMB Number does not exists
2013204847,Okafor,Victor,Second Class Upper,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2012614273,Umeh,Grace,Second Class Upper,Civil Engineering,Jamb Number has already been used
2020738109,Onyeka,Chukwuemeka,Second Class Upper,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2022507163,Umeh,Emeka,Third Class,Computer Science,Matriculation Number Already Exist
2019302213,Obi,Samuel,Second Class Upper,Agricultural Science,Jamb Number has already been used
2019636384,Ifeanyi,Daniel,Second Class Upper,Civil Engineering,JAMB Number does not exists
2019062407,Agu,Joy,Second Class Upper,Petroleum Engineering,Matriculation Number Already Exist
2020680321,Umeh,Precious,Second Class Lower,Mechanical & Production Engineering,JAMB Number does not exists
2016824011,Ifeanyi,Precious,Second Class Lower,Urban And Regional Planning,JAMB Number does not exists
2017088784,Obi,Emeka,Second Class Upper,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2015567926,Nnamdi,Grace,Second Class Upper,Computer Science,JAMB Number does not exists
2013407489,Nwosu,Joy,Second Class Lower,Electrical & Electronics Engineering,Matriculation Number Already Exist
2016300655,Obi,Precious,Second Class Lower,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2021972365,Ifeanyi,Joy,Third Class,Chemical Engineering,JAMB Number does not exists
2012423675,Okafor,Precious,Second Class Upper,Agricultural Science,Jamb Number has already been used
2015015493,Onyeka,Chukwuemeka,Third Class,Polymer And Textile Engineering,Matriculation Number Already Exist
2015963445,Obi,Victor,Second Class Upper,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2021399638,Onyeka,Victor,Second Class Upper,Public Health Technology,JAMB Number does not exists
2014921356,Onyeka,Victor,Second Class Lower,Maritime Management Technology,Matriculation Number Already Exist
2016640486,Nwosu,Chukwuemeka,Second Class Upper,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2015758457,Nwosu,Victor,Second Class Upper,Maritime Management Technology,Jamb Number has already been used
2013646076,Ifeanyi,Victor,Second Class Upper,Electrical & Electronics Engineering,JAMB Number does not exists
2021684872,Okeke,Grace,Third Class,Polymer And Textile Engineering,JAMB Number does not exists
2012685900,Obi,Chidinma,Third Class,Civil Engineering,Jamb Number has already been used
2011175003,Eze,Daniel,Second Class Lower,Civil Engineering,Jamb Number has already been used
2018671504,Agu,Samuel,Second Class Upper,Computer Science,Jamb Number has already been used
2018016916,Agu,Chiamaka,Second Class Upper,Computer Science,Jamb Number has already been used
2015670003,Obi,Joy,Third Class,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2017274855,Nwosu,Emeka,Second Class Upper,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2017475382,Nnamdi,Samuel,Second Class Lower,Agricultural Science,JAMB Number does not exists
2011664014,Obi,Joy,Second Class Upper,Public Health Technology,Matriculation Number Already Exist
2019700773,Umeh,Samuel,Second Class Lower,Biotechnology,JAMB Number does not exists
2014755095,Nnamdi,Joy,Second Class Upper,Chemical Engineering,Jamb Number has already been used
2013301977,Ifeanyi,Victor,Second Class Lower,Agricultural Science,Jamb Number has already been used
2012079168,Eze,Samuel,Second Class Lower,Polymer And Textile Engineering,JAMB Number does not exists
2011617680,Nnamdi,Chukwuemeka,Second Class Lower,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2015497461,Okafor,Grace,Second Class Lower,Maritime Management Technology,JAMB Number does not exists
2021831094,Okafor,Chiamaka,Second Class Upper,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2022476095,Okafor,Chukwuemeka,Second Class Upper,Industrial Mathematics,Jamb Number has already been used
2018642302,Umeh,Precious,Second Class Lower,Agricultural Science,Matriculation Number Already Exist
2020143265,Okafor,Chidinma,Second Class Lower,Statistics,Matriculation Number Already Exist
2020823545,Ifeanyi,Precious,Third Class,Industrial Mathematics,Matriculation Number Already Exist
2014479723,Okafor,Samuel,Second Class Upper,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2021682412,Agu,Precious,Third Class,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2019260605,Ifeanyi,Samuel,Second Class Upper,Computer Science,Jamb Number has already been used
2016665259,Agu,Chukwuemeka,Third Class,Geology,Matriculation Number Already Exist
2018825586,Okafor,Daniel,Second Class Upper,Biotechnology,The Name specified on the senate List does not match with the Name on JAMB Record
2012878774,Okafor,Chiamaka,Second Class Upper,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2019907324,Okeke,Chidinma,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2021288873,Onyeka,Grace,Third Class,Statistics,The Name specified on the senate List does not match with the Name on JAMB Record
2017123965,Okafor,Grace,Second Class Lower,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2018550177,Okeke,Daniel,Second Class Lower,Public Health Technology,Matriculation Number Already Exist
2021197081,Ifeanyi,Grace,Second Class Lower,Microbiology,Matriculation Number Already Exist
2014671878,Ifeanyi,Chidinma,Third Class,Polymer And Textile Engineering,Matriculation Number Already Exist
2011513467,Okeke,Joy,Second Class Upper,Chemical Engineering,Matriculation Number Already Exist
2021138973,Okafor,Chidinma,Second Class Lower,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2018019060,Onyeka,Chukwuemeka,Third Class,Urban And Regional Planning,JAMB Number does not exists
2020810346,Umeh,Daniel,Third Class,Statistics,Matriculation Number Already Exist
2022599415,Okeke,Chidinma,Third Class,Civil Engineering,Jamb Number has already been used
2015846719,Ifeanyi,Chukwuemeka,Second Class Lower,Electrical & Electronics Engineering,Jamb Number has already been used
2013298763,Agu,Victor,Second Class Upper,Computer Science,Jamb Number has already been used
2019539328,Nwosu,Precious,Second Class Lower,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2018129534,Nnamdi,Joy,Second Class Lower,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2019081941,Eze,Chiamaka,Second Class Upper,Maritime Management Technology,JAMB Number does not exists
2021768964,Nwosu,Joy,Third Class,Agricultural Science,JAMB Number does not exists
2017077532,Umeh,Grace,Second Class Lower,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2014963363,Okeke,Samuel,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2022908472,Eze,Grace,Second Class Upper,Maritime Management Technology,Jamb Number has already been used
2019548823,Okeke,Emeka,Third Class,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018404408,Nwosu,Victor,Second Class Upper,Mechanical & Production Engineering,Matriculation Number Already Exist
2013613960,Agu,Samuel,Third Class,Agricultural Science,Matriculation Number Already Exist
2018231061,Umeh,Grace,Third Class,Petroleum Engineering,JAMB Number does not exists
2011945595,Umeh,Emeka,Third Class,Mechanical & Production Engineering,JAMB Number does not exists
2014825916,Ifeanyi,Chukwuemeka,Second Class Upper,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2017971919,Agu,Daniel,Second Class Upper,Microbiology,Jamb Number has already been used
2017341187,Nwosu,Precious,Third Class,Electrical & Electronics Engineering,JAMB Number does not exists
2022128982,Nwosu,Grace,Third Class,Statistics,JAMB Number does not exists
2019504569,Eze,Victor,Second Class Upper,Industrial Mathematics,Matriculation Number Already Exist
2016615524,Nwosu,Chukwuemeka,Third Class,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2011246986,Nnamdi,Victor,Second Class Upper,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2021835253,Eze,Precious,Second Class Upper,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2017314371,Nwosu,Chidinma,Third Class,Maritime Management Technology,JAMB Number does not exists
2012031237,Obi,Chukwuemeka,Second Class Lower,Computer Science,Matriculation Number Already Exist
2019401583,Nwosu,Emeka,Second Class Lower,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2011112498,Okeke,Grace,Third Class,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2020039583,Umeh,Chukwuemeka,Second Class Upper,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2011011237,Ifeanyi,Emeka,Third Class,Industrial Mathematics,Jamb Number has already been used
2014814443,Nnamdi,Grace,Second Class Lower,Electrical & Electronics Engineering,Matriculation Number Already Exist
2022495744,Obi,Chukwuemeka,Second Class Lower,Civil Engineering,Matriculation Number Already Exist
2018897899,Okeke,Daniel,Second Class Upper,Microbiology,JAMB Number does not exists
2022935992,Agu,Samuel,Second Class Upper,Statistics,Jamb Number has already been used
2022758817,Onyeka,Precious,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2015186581,Eze,Chukwuemeka,Third Class,Electrical & Electronics Engineering,JAMB Number does not exists
2017852950,Umeh,Victor,Second Class Lower,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2017447847,Ifeanyi,Samuel,Second Class Upper,Public Health Technology,Matriculation Number Already Exist
2016293621,Agu,Grace,Third Class,Biotechnology,The Name specified on the senate List does not match with the Name on JAMB Record
2014994652,Ifeanyi,Emeka,Third Class,Statistics,Matriculation Number Already Exist
2012285645,Okafor,Samuel,Second Class Upper,Computer Science,JAMB Number does not exists
2011022197,Nnamdi,Emeka,Second Class Upper,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2012683460,Okafor,Joy,Second Class Lower,Microbiology,Matriculation Number Already Exist
2013325088,Nnamdi,Chidinma,Third Class,Civil Engineering,Matriculation Number Already Exist
2017175826,Onyeka,Emeka,Second Class Upper,Maritime Management Technology,Jamb Number has already been used
2017030015,Nwosu,Chukwuemeka,Third Class,Urban And Regional Planning,JAMB Number does not exists
2015771223,Eze,Victor,Third Class,Petroleum Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018734513,Agu,Precious,Third Class,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2017018282,Eze,Precious,Third Class,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020113646,Obi,Emeka,Third Class,Industrial Mathematics,Matriculation Number Already Exist
2012961698,Onyeka,Chidinma,Second Class Lower,Statistics,The Name specified on the senate List does not match with the Name on JAMB Record
2020231469,Okeke,Joy,Second Class Upper,Microbiology,Matriculation Number Already Exist
2020149570,Okafor,Chidinma,Second Class Lower,Industrial Mathematics,Jamb Number has already been used
2011441601,Onyeka,Chukwuemeka,Second Class Upper,Petroleum Engineering,Matriculation Number Already Exist
2015820226,Obi,Precious,Third Class,Statistics,JAMB Number does not exists
2019943463,Ifeanyi,Chiamaka,Second Class Upper,Electrical & Electronics Engineering,Jamb Number has already been used
2013267310,Nwosu,Emeka,Second Class Upper,Chemical Engineering,JAMB Number does not exists
2011146187,Okeke,Grace,Third Class,Chemical Engineering,Matriculation Number Already Exist
2022605606,Nnamdi,Grace,Third Class,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2019365260,Nwosu,Grace,Second Class Lower,Biotechnology,The Name specified on the senate List does not match with the Name on JAMB Record
2017322044,Obi,Emeka,Second Class Lower,Maritime Management Technology,Matriculation Number Already Exist
2016787591,Eze,Precious,Second Class Lower,Maritime Management Technology,JAMB Number does not exists
2017291818,Ifeanyi,Samuel,Second Class Upper,Industrial Mathematics,JAMB Number does not exists
2021995107,Okafor,Chukwuemeka,Second Class Lower,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2022316144,Nnamdi,Chukwuemeka,Second Class Lower,Urban And Regional Planning,Matriculation Number Already Exist
2021407858,Ifeanyi,Precious,Second Class Upper,Agricultural Science,Jamb Number has already been used
2015644258,Okafor,Chukwuemeka,Second Class Lower,Maritime Management Technology,Matriculation Number Already Exist
2018374228,Okeke,Emeka,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2011707208,Okafor,Grace,Third Class,Mechanical & Production Engineering,Jamb Number has already been used
2018814041,Okeke,Grace,Second Class Upper,Statistics,Jamb Number has already been used
2022835248,Onyeka,Joy,Second Class Upper,Maritime Management Technology,JAMB Number does not exists
2016244818,Obi,Samuel,Second Class Upper,Urban And Regional Planning,JAMB Number does not exists
2022546359,Okeke,Chukwuemeka,Second Class Lower,Agricultural Science,JAMB Number does not exists
2014689882,Ifeanyi,Chiamaka,Second Class Upper,Public Health Technology,JAMB Number does not exists
2012549815,Nnamdi,Samuel,Second Class Lower,Civil Engineering,Matriculation Number Already Exist
2015066871,Okeke,Chiamaka,Second Class Lower,Geology,Matriculation Number Already Exist
2021609093,Onyeka,Daniel,Second Class Upper,Electrical & Electronics Engineering,JAMB Number does not exists
2022078783,Okeke,Chukwuemeka,Third Class,Civil Engineering,Matriculation Number Already Exist
2018178876,Umeh,Precious,Second Class Lower,Geology,Matriculation Number Already Exist
2017180120,Onyeka,Emeka,Third Class,Industrial Mathematics,Jamb Number has already been used
2011461208,Onyeka,Precious,Third Class,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2020838454,Okeke,Chidinma,Second Class Upper,Public Health Technology,Jamb Number has already been used
2014605391,Nnamdi,Victor,Second Class Upper,Urban And Regional Planning,Matriculation Number Already Exist
2017921463,Eze,Grace,Second Class Lower,Urban And Regional Planning,Matriculation Number Already Exist
2016634746,Nnamdi,Joy,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2019408047,Umeh,Chiamaka,Second Class Lower,Computer Science,JAMB Number does not exists
2020525191,Umeh,Precious,Second Class Upper,Mechanical & Production Engineering,Matriculation Number Already Exist
2011828279,Nnamdi,Chidinma,Second Class Upper,Statistics,Jamb Number has already been used
2021010935,Nwosu,Joy,Third Class,Urban And Regional Planning,JAMB Number does not exists
2014226866,Agu,Samuel,Third Class,Agricultural Science,Matriculation Number Already Exist
2012222684,Onyeka,Victor,Second Class Lower,Electrical & Electronics Engineering,JAMB Number does not exists
2012612899,Eze,Emeka,Second Class Upper,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2021024652,Agu,Joy,Second Class Upper,Agricultural Science,Matriculation Number Already Exist
2011055977,Eze,Emeka,Third Class,Agricultural Science,JAMB Number does not exists
2015036682,Obi,Joy,Third Class,Civil Engineering,Matriculation Number Already Exist
2012579326,Okafor,Chidinma,Third Class,Biotechnology,Matriculation Number Already Exist
2022352585,Okeke,Chukwuemeka,Third Class,Petroleum Engineering,Jamb Number has already been used
2012078320,Obi,Joy,Second Class Upper,Public Health Technology,JAMB Number does not exists
2018968864,Obi,Victor,Second Class Upper,Microbiology,JAMB Number does not exists
2015435280,Okeke,Samuel,Third Class,Geology,JAMB Number does not exists
2014829584,Obi,Emeka,Second Class Upper,Urban And Regional Planning,Jamb Number has already been used
2019500940,Eze,Victor,Second Class Lower,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2021868312,Nnamdi,Joy,Second Class Upper,Public Health Technology,Jamb Number has already been used
2017782496,Okeke,Precious,Second Class Upper,Geology,JAMB Number does not exists
2016192869,Okeke,Chukwuemeka,Second Class Lower,Agricultural Science,Matriculation Number Already Exist
2014647525,Okeke,Victor,Second Class Upper,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2014937927,Umeh,Chiamaka,Second Class Upper,Computer Science,JAMB Number does not exists
2019816611,Nnamdi,Grace,Second Class Lower,Petroleum Engineering,Jamb Number has already been used
2015230836,Ifeanyi,Chukwuemeka,Third Class,Biotechnology,The Name specified on the senate List does not match with the Name on JAMB Record
2017430882,Okeke,Chukwuemeka,Second Class Upper,Statistics,JAMB Number does not exists
2020934081,Nnamdi,Samuel,Second Class Lower,Statistics,Jamb Number has already been used
2014874361,Agu,Daniel,Third Class,Chemical Engineering,Jamb Number has already been used
2021318504,Nwosu,Daniel,Second Class Lower,Statistics,JAMB Number does not exists
2020968693,Nnamdi,Victor,Second Class Lower,Polymer And Textile Engineering,JAMB Number does not exists
2016810941,Obi,Daniel,Second Class Upper,Mechanical & Production Engineering,Matriculation Number Already Exist
2020949070,Ifeanyi,Grace,Second Class Lower,Chemical Engineering,Matriculation Number Already Exist
2020202313,Nwosu,Chiamaka,Second Class Upper,Electrical & Electronics Engineering,Matriculation Number Already Exist
2022283554,Okafor,Chukwuemeka,Second Class Upper,Statistics,Matriculation Number Already Exist
2022181958,Ifeanyi,Grace,Third Class,Public Health Technology,JAMB Number does not exists
2011208637,Eze,Joy,Second Class Lower,Agricultural Science,Matriculation Number Already Exist
2019994749,Obi,Grace,Second Class Upper,Petroleum Engineering,JAMB Number does not exists
2012806566,Agu,Precious,Third Class,Electrical & Electronics Engineering,Jamb Number has already been used
2017651962,Ifeanyi,Daniel,Third Class,Geology,Matriculation Number Already Exist
2011823201,Okeke,Chukwuemeka,Third Class,Urban And Regional Planning,Matriculation Number Already Exist
2019613268,Nnamdi,Chidinma,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2021822728,Umeh,Emeka,Third Class,Computer Science,JAMB Number does not exists
2016074465,Umeh,Chiamaka,Third Class,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2013864335,Onyeka,Grace,Second Class Upper,Maritime Management Technology,JAMB Number does not exists
2021391773,Umeh,Victor,Second Class Lower,Civil Engineering,Jamb Number has already been used
2018766209,Eze,Precious,Second Class Upper,Public Health Technology,Jamb Number has already been used
2015795851,Nnamdi,Daniel,Third Class,Statistics,Matriculation Number Already Exist
2022743232,Okeke,Victor,Second Class Upper,Geology,Jamb Number has already been used
2017996245,Agu,Chidinma,Second Class Upper,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2012017361,Okafor,Chiamaka,Third Class,Mechanical & Production Engineering,Matriculation Number Already Exist
2019177259,Okeke,Chidinma,Third Class,Public Health Technology,JAMB Number does not exists
2017913392,Ifeanyi,Victor,Second Class Lower,Urban And Regional Planning,Jamb Number has already been used
2014681276,Umeh,Chidinma,Second Class Upper,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2019567335,Nwosu,Chiamaka,Second Class Upper,Geology,Matriculation Number Already Exist
2020133177,Nnamdi,Samuel,Second Class Upper,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2014220317,Okeke,Chiamaka,Third Class,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018683322,Agu,Chiamaka,Second Class Upper,Polymer And Textile Engineering,Matriculation Number Already Exist
2017653653,Okeke,Chidinma,Second Class Lower,Urban And Regional Planning,Jamb Number has already been used
2011835328,Ifeanyi,Precious,Second Class Upper,Geology,Jamb Number has already been used
2015836966,Onyeka,Grace,Third Class,Industrial Mathematics,Matriculation Number Already Exist
2022452758,Agu,Samuel,Third Class,Urban And Regional Planning,Matriculation Number Already Exist
2011335108,Okeke,Samuel,Second Class Upper,Petroleum Engineering,Matriculation Number Already Exist
2017568254,Umeh,Emeka,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2011441707,Umeh,Joy,Third Class,Industrial Mathematics,Jamb Number has already been used
2016853479,Ifeanyi,Grace,Second Class Upper,Maritime Management Technology,JAMB Number does not exists
2014055997,Ifeanyi,Joy,Second Class Upper,Urban And Regional Planning,Matriculation Number Already Exist
2017862239,Eze,Daniel,Second Class Lower,Civil Engineering,JAMB Number does not exists
2018677032,Okeke,Grace,Third Class,Agricultural Science,Jamb Number has already been used
2022108859,Agu,Precious,Second Class Lower,Civil Engineering,Jamb Number has already been used
2013344510,Okafor,Emeka,Third Class,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2019340342,Umeh,Daniel,Second Class Upper,Maritime Management Technology,JAMB Number does not exists
2019822484,Okeke,Joy,Third Class,Mechanical & Production Engineering,Matriculation Number Already Exist
2013259082,Eze,Emeka,Second Class Upper,Civil Engineering,JAMB Number does not exists
2016591367,Nwosu,Emeka,Second Class Lower,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2012689048,Obi,Chukwuemeka,Third Class,Urban And Regional Planning,JAMB Number does not exists
2016299494,Nwosu,Emeka,Second Class Lower,Biotechnology,Jamb Number has already been used
2015852242,Nnamdi,Emeka,Second Class Upper,Electrical & Electronics Engineering,Jamb Number has already been used
2011877368,Obi,Victor,Second Class Lower,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2022707340,Ifeanyi,Emeka,Second Class Lower,Statistics,Matriculation Number Already Exist
2021902241,Onyeka,Daniel,Second Class Lower,Geology,Matriculation Number Already Exist
2014011279,Okafor,Victor,Third Class,Civil Engineering,Matriculation Number Already Exist
2011863732,Nwosu,Victor,Third Class,Statistics,JAMB Number does not exists
2016369162,Okeke,Chiamaka,Third Class,Geology,Matriculation Number Already Exist
2022629484,Agu,Grace,Second Class Upper,Chemical Engineering,Jamb Number has already been used
2019250435,Ifeanyi,Joy,Second Class Upper,Petroleum Engineering,JAMB Number does not exists
2017494693,Ifeanyi,Samuel,Second Class Upper,Statistics,Matriculation Number Already Exist
2012330456,Nnamdi,Victor,Second Class Lower,Statistics,JAMB Number does not exists
2013706305,Okafor,Precious,Third Class,Public Health Technology,Jamb Number has already been used
2021388617,Ifeanyi,Samuel,Second Class Upper,Computer Science,Matriculation Number Already Exist
2015117966,Onyeka,Samuel,Second Class Upper,Microbiology,Jamb Number has already been used
2014745436,Okeke,Chidinma,Second Class Lower,Public Health Technology,Matriculation Number Already Exist
2019660660,Obi,Grace,Third Class,Mechanical & Production Engineering,Matriculation Number Already Exist
2019911641,Okeke,Precious,Second Class Lower,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2017448723,Okafor,Victor,Third Class,Agricultural Science,JAMB Number does not exists
2018301919,Umeh,Samuel,Third Class,Petroleum Engineering,Jamb Number has already been used
2015569629,Okafor,Chiamaka,Second Class Lower,Biotechnology,Matriculation Number Already Exist
2013947206,Obi,Chidinma,Second Class Lower,Public Health Technology,Matriculation Number Already Exist
2019013217,Nwosu,Chidinma,Second Class Lower,Industrial Mathematics,Matriculation Number Already Exist
2017386794,Umeh,Chiamaka,Second Class Lower,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020030685,Agu,Chidinma,Third Class,Chemical Engineering,JAMB Number does not exists
2016244355,Onyeka,Victor,Third Class,Petroleum Engineering,Jamb Number has already been used
2020972843,Okeke,Daniel,Second Class Lower,Public Health Technology,JAMB Number does not exists
2017829043,Nwosu,Chidinma,Second Class Lower,Statistics,Jamb Number has already been used
2021912888,Eze,Grace,Third Class,Public Health Technology,Jamb Number has already been used
2015490592,Eze,Daniel,Third Class,Biotechnology,JAMB Number does not exists
2011616422,Agu,Grace,Third Class,Civil Engineering,JAMB Number does not exists
2020358285,Obi,Chiamaka,Second Class Upper,Mechanical & Production Engineering,JAMB Number does not exists
2020361798,Okeke,Grace,Second Class Lower,Agricultural Science,Jamb Number has already been used
2011733806,Eze,Chidinma,Second Class Upper,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2020559904,Obi,Emeka,Third Class,Statistics,Matriculation Number Already Exist
2021489360,Onyeka,Emeka,Second Class Upper,Industrial Mathematics,JAMB Number does not exists
2017333857,Obi,Chiamaka,Second Class Upper,Microbiology,JAMB Number does not exists
2012534232,Ifeanyi,Victor,Second Class Lower,Industrial Mathematics,JAMB Number does not exists
2014474298,Agu,Emeka,Third Class,Polymer And Textile Engineering,JAMB Number does not exists
2014515756,Obi,Victor,Second Class Upper,Polymer And Textile Engineering,Matriculation Number Already Exist
2016326941,Nnamdi,Emeka,Second Class Upper,Public Health Technology,Jamb Number has already been used
2020572961,Umeh,Chiamaka,Second Class Lower,Chemical Engineering,Jamb Number has already been used
